,Company,rating,reviews,place,company type,old
4473,Ichhapurti.com,2.9,(99 Reviews),,Gurgaon/Gurugram + 14 more,
4474,Jio Platforms,4.0,(99 Reviews),,Navi Mumbai + 9 more,
4475,GITAM University,4.0,(99 Reviews),Visakhapatnam + 3 more,Private,42 years old
4476,Quadlabs Technol...,4.6,(99 Reviews),"Gurgaon/Gurugram,Haryana + 1 more",Private,16 years old
4477,Haldiram Bhujiaw...,3.9,(99 Reviews),"Kolkata,West Bengal + 21 more",Private,64 years old
4478,L. V. Prasad Eye...,4.3,(99 Reviews),35 years old,"Hyderabad/Secunderabad,Telangana + 6 more",501-1k Employees (India)
4479,World Health Org...,4.4,(99 Reviews),"Geneva,Canton Of Geneva + 45 more",Private,74 years old
4480,Bonanza Portfoli...,3.6,(98 Reviews),New Delhi + 29 more,Private,28 years old
4481,Chitkara Univers...,4.2,(98 Reviews),"Chandigarh,Punjab + 3 more",Private,14 years old
4482,Seco Tools,4.3,(98 Reviews),Fagersta + 1 more,Private,88 years old
4483,Prothious Engine...,4.0,(98 Reviews),"Mumbai,Maharashtra + 4 more",Private,17 years old
4484,Agappe Diagnosti...,3.9,(98 Reviews),"Ernakulam,Kerala + 18 more",Private,24 years old
4485,C. L. GUPTA EXPO...,4.4,(98 Reviews),New Delhi + 6 more,Public,67 years old
4486,Barbrik Project,3.9,(98 Reviews),14 years old,Surajpur + 14 more,501-1k Employees (India)
4487,Tenon Facility M...,4.1,(98 Reviews),27 years old,"Gurgaon/Gurugram,Haryana + 14 more",201-500 Employees (India)
4488,BMW Industries,4.2,(98 Reviews),Kolkata + 10 more,Public,52 years old
4489,Foiwe Info Globa...,3.3,(98 Reviews),12 years old,"Bangalore/Bengaluru,Karnataka + 1 more",201-500 Employees (India)
4490,Harita Fehrer,4.2,(98 Reviews),12 years old,"Hosur,Tamil Nadu + 4 more",51-200 Employees (India)
4491,ACE Group,4.2,(98 Reviews),Noida + 24 more,Private,12 years old
4492,Chemie-Tech Proj...,3.6,(98 Reviews),25 years old,Sharjah + 13 more,51-200 Employees (India)
4493,Ministry of Rura...,4.3,(98 Reviews),New Delhi + 41 more,Public,48 years old
4494,Impressions Serv...,4.2,(98 Reviews),"Gurgaon/Gurugram,Haryana + 9 more",Private,28 years old
4495,Apex Group,3.1,(98 Reviews),201-500 Employees (India),Hamilton + 8 more,
4496,Diffusion Engine...,4.1,(98 Reviews),"Nagpur,Maharashtra + 16 more",Private,39 years old
4497,MKCL,4.1,(98 Reviews),Pune + 21 more,Private,21 years old
4498,Apcer Life Scien...,3.9,(98 Reviews),15 years old,"Princeton,New Jersey + 1 more",51-200 Employees (India)
4499,Barbrik Project,3.9,(98 Reviews),14 years old,Surajpur + 14 more,501-1k Employees (India)
4500,Apex Group,3.1,(98 Reviews),201-500 Employees (India),Hamilton + 8 more,
4501,Chitkara Univers...,4.2,(98 Reviews),"Chandigarh,Punjab + 3 more",Private,14 years old
4502,Comvision,4.9,(98 Reviews),Gurgaon + 4 more,Private,11-50 Employees (India)
4503,Ginger Hotels,4.3,(98 Reviews),Mumbai + 29 more,Private,19 years old
4504,Keppel Offshore ...,4.1,(98 Reviews),Mumbai + 11 more,Private,20 years old
4505,Appasamy Associa...,3.7,(98 Reviews),"Chennai,Tamil Nadu + 15 more",Private,44 years old
4506,Epson,4.4,(98 Reviews),80 years old,Suwa + 34 more,501-1k Employees (India)
4507,Harita Fehrer,4.2,(98 Reviews),12 years old,"Hosur,Tamil Nadu + 4 more",51-200 Employees (India)
4508,Toyota Financial...,3.8,(98 Reviews),Chandler + 18 more,Public,39 years old
4509,Foiwe Info Globa...,3.3,(98 Reviews),12 years old,"Bangalore/Bengaluru,Karnataka + 1 more",201-500 Employees (India)
4510,National Sample ...,3.8,(98 Reviews),72 years old,New Delhi + 47 more,201-500 Employees (Global)
4511,Knowledge Splice...,3.4,(98 Reviews),"Houston,Texas + 6 more",Private,11 years old
4512,Ck Birla Hospita...,3.9,(98 Reviews),Kolkata + 2 more,Private,53 years old
4513,Tenon Facility M...,4.1,(98 Reviews),27 years old,"Gurgaon/Gurugram,Haryana + 14 more",201-500 Employees (India)
4514,Kalyani Maxion W...,4.1,(98 Reviews),102 years old,Königswinter,10k-50k Employees (India)
4515,Xpo Logistics,3.7,(98 Reviews),11 years old,"Greenwich,Connecticut + 13 more",51-200 Employees (India)
4516,GUILTFREE INDUST...,3.7,(98 Reviews),"Kolkata,West Bengal + 28 more",Public,6 years old
4517,Schneider Electr...,4.6,(98 Reviews),,Bengaluru/Bangalore + 15 more,
4518,Venkateshwar Hos...,3.3,(98 Reviews),"Delhi/NCR,Delhi + 2 more",Private,17 years old
4519,MJ Biopharm,3.8,(98 Reviews),35 years old,"Mumbai,Maharashtra + 7 more",201-500 Employees (India)
4520,Sud Life Insuran...,3.9,(98 Reviews),13 years old,Navi Mumbai + 49 more,1k-5k Employees (Global)
4521,Quale Infotech,4.8,(98 Reviews),"New Delhi,Delhi + 8 more",Private,5 years old
4522,Rave Technologie...,3.7,(98 Reviews),"Mumbai,Maharashtra + 3 more",Private,35 years old
4523,ITCube Solutions,3.3,(98 Reviews),"Pune,Maharashtra + 3 more",Private,19 years old
4524,Outworx Solution...,3.9,(98 Reviews),"San Jose,California + 10 more",Private,19 years old
4525,Wicked Ride Adve...,3.9,(159 Reviews),"Bangalore,Karnataka + 5 more",Private,8 years old
4526,Gruh Finance,4.4,(97 Reviews),"Ahmedabad,Gujarat + 46 more",Public,34 years old
4527,United Nations D...,4.2,(97 Reviews),57 years old,"New York,New York + 24 more",201-500 Employees (India)
4528,Pebs Pennar,3.5,(97 Reviews),"Hyderabad,Telangana + 9 more",Private,14 years old
4529,Abhijeet Group,4.1,(97 Reviews),Nagpur + 18 more,Private,34 years old
4530,Tecumseh Product...,3.4,(97 Reviews),"Ann Arbor,Michigan + 6 more",Private,88 years old
4531,LUX Industries,4.1,(97 Reviews),Kolkata + 14 more,Public,65 years old
4532,CDM Smith,4.1,(97 Reviews),Boston + 21 more,Private,75 years old
4533,Gruh Finance,4.4,(97 Reviews),"Ahmedabad,Gujarat + 46 more",Public,34 years old
4534,Manba Finance,3.3,(97 Reviews),26 years old,"Mumbai,Maharashtra + 9 more",501-1k Employees (India)
4535,V2 Solutions,4.1,(97 Reviews),"Santa Clara,California + 6 more",Private,19 years old
4536,Petronas Lubrica...,3.3,(97 Reviews),14 years old,Kuala Lumpur + 21 more,51-200 Employees (India)
4537,United Nations D...,4.2,(97 Reviews),57 years old,"New York,New York + 24 more",201-500 Employees (India)
4538,Pebs Pennar,3.5,(97 Reviews),"Hyderabad,Telangana + 9 more",Private,14 years old
4539,Shaze Luxury Ret...,3.0,(97 Reviews),12 years old,"Mumbai,Maharashtra + 9 more",51-200 Employees (India)
4540,Varroc Lighting ...,3.4,(97 Reviews),Plymouth + 6 more,Private,10 years old
4541,Kriti Industries,4.2,(97 Reviews),Indore + 16 more,Public,39 years old
4542,CyberSWIFT Infot...,4.0,(97 Reviews),"Worthington,Ohio + 3 more",Private,25 years old
4543,Rapido,4.3,(97 Reviews),"Bangalore,Karnataka + 26 more",Private,7 years old
4544,Enaltec Labs,3.9,(97 Reviews),16 years old,"Navi Mumbai,Maharashtra + 5 more",51-200 Employees (India)
4545,Swaraj Engines,3.8,(97 Reviews),Mohali + 5 more,Public,33 years old
4546,Border Roads Org...,4.3,(97 Reviews),New Delhi + 13 more,Public,62 years old
4547,PurpleTalk,4.2,(97 Reviews),"Dallas,Texas + 1 more",Private,14 years old
4548,Volkswagen It Se...,3.8,(97 Reviews),6 years old,"Pune,Maharashtra + 3 more",501-1k Employees (India)
4549,Sand Martin Cons...,3.1,(97 Reviews),38 years old,New Delhi + 4 more,201-500 Employees (India)
4550,Parsvnath Develo...,3.1,(97 Reviews),"Delhi/NCR,Delhi + 13 more",Public,32 years old
4551,UDS,4.0,(97 Reviews),Chennai + 20 more,Private,37 years old
4552,Diamond Beverage...,3.7,(97 Reviews),Kolkata + 3 more,Private,27 years old
4553,Solaris Chemtech,4.6,(97 Reviews),Gurgaon + 9 more,Private,52 years old
4554,Inland World Log...,3.9,(97 Reviews),40 years old,"Mumbai,Maharashtra + 26 more",1k-5k Employees (India)
4555,Beri Udyog,3.8,(97 Reviews),44 years old,"Karnal,Haryana + 9 more",201-500 Employees (India)
4556,Domino Printech,4.3,(97 Reviews),"Gurgaon/Gurugram,Haryana + 18 more",LLP,26 years old
4557,Ahresty India,3.7,(97 Reviews),"Rewari,Haryana + 5 more",Private,15 years old
4558,JAY JAY MILLS,3.8,(97 Reviews),51 years old,"Tirupur/Tiruppur,Tamil Nadu + 7 more",51-200 Employees (India)
4559,Inland World Log...,3.9,(97 Reviews),40 years old,"Mumbai,Maharashtra + 26 more",1k-5k Employees (India)
4560,Swaraj Engines,3.8,(97 Reviews),Mohali + 5 more,Public,33 years old
4561,CyberSWIFT Infot...,4.0,(97 Reviews),"Worthington,Ohio + 3 more",Private,25 years old
4562,Arkray Healthcar...,4.1,(97 Reviews),"Mumbai,Maharashtra + 18 more",Private,62 years old
4563,IFB Agro Industr...,4.1,(97 Reviews),Kolkata + 15 more,Public,40 years old
4564,Petronas Lubrica...,3.3,(97 Reviews),14 years old,Kuala Lumpur + 21 more,51-200 Employees (India)
4565,Imperative Busin...,4.5,(97 Reviews),Mumbai + 2 more,Private,11 years old
4566,Chaitanya India ...,4.3,(97 Reviews),"Bangalore,Karnataka + 42 more",Private,13 years old
4567,SMS Pharmaceutic...,3.3,(97 Reviews),Hyderabad + 3 more,Public,32 years old
4568,Webdew,4.8,(97 Reviews),"Mohali,Punjab + 5 more",Private,6 years old
4569,Casio India Comp...,3.5,(97 Reviews),"Delhi/NCR,New Delhi + 16 more",Private,26 years old
4570,Funlabtech,4.3,(97 Reviews),201-500 Employees (Global),Gurgaon/Gurugram + 4 more,
4571,Maschio Gaspardo,3.6,(97 Reviews),"Pune,Maharashtra + 11 more",Private,58 years old
4572,Zetwerk Manufact...,4.1,(97 Reviews),4 years old,"Bangalore,Karnataka + 13 more",501-1k Employees (India)
4573,NIKE,4.5,(97 Reviews),"Beaverton,Oregon + 28 more",Public,58 years old
4574,Arundhati Jewell...,4.7,(97 Reviews),"Bhubaneswar,Odisha + 5 more",Private,22 years old
4575,Rahman Industrie...,3.9,(96 Reviews),"Kanpur,Uttar Pradesh + 6 more",Public,33 years old
4576,CTR Manufacturin...,3.4,(96 Reviews),"Pune,Maharashtra + 8 more",Public,58 years old
4577,SA Infrastructur...,4.1,(96 Reviews),"Noida,Uttar Pradesh + 26 more",Private,17 years old
4578,Sofitel Luxury H...,4.6,(96 Reviews),58 years old,Paris + 5 more,1k-5k Employees (India)
4579,Vinati Organics,4.2,(96 Reviews),"Mumbai,Maharashtra + 6 more",Public,33 years old
4580,Intelliswift Sof...,3.4,(96 Reviews),"Newark,New Jersey + 4 more",Private,21 years old
4581,Himalaya Optical...,4.3,(96 Reviews),"Kolkata,West Bengal + 23 more",Private,87 years old
4582,Corporation Bank,4.3,(96 Reviews),"Mangaluru/Mangalore,Karnataka + 33 more",Public,116 years old
4583,Cimpress,4.4,(96 Reviews),"Dundalk,County Louth + 4 more",Private,27 years old
4584,Shipping Corpora...,4.0,(96 Reviews),Mumbai + 5 more,Private,61 years old
4585,Saxo Bank,3.4,(96 Reviews),"Copenhagen,Capital Region",Private,30 years old
4586,Radiant Export,4.3,(96 Reviews),31 years old,"Noida,Uttar Pradesh + 1 more",51-200 Employees (India)
4587,Interface Micros...,3.8,(96 Reviews),"Gurgaon/Gurugram,Haryana + 5 more",Private,38 years old
4588,Nava Bharath Fer...,4.3,(96 Reviews),7 years old,"Hyderabad/Secunderabad,Telangana + 25 more",51-200 Employees (India)
4589,SA Infrastructur...,4.1,(96 Reviews),"Noida,Uttar Pradesh + 26 more",Private,17 years old
4590,Polaris,4.0,(96 Reviews),Faridabad + 11 more,Private,11 years old
4591,Lion Engineering...,3.9,(96 Reviews),20 years old,Bhopal + 23 more,501-1k Employees (India)
4592,Interface Micros...,3.8,(96 Reviews),"Gurgaon/Gurugram,Haryana + 5 more",Private,38 years old
4593,Wilo Mather and ...,4.4,(96 Reviews),Dortmund + 11 more,Public,152 years old
4594,Amity Internatio...,4.6,(96 Reviews),28 years old,Noida + 10 more,5k-10k Employees (India)
4595,E-meditek Tpa Se...,3.7,(96 Reviews),Gurgaon + 17 more,Private,22 years old
4596,Mayur Uniquoters,4.2,(96 Reviews),"Jaipur,Rajasthan + 2 more",Public,30 years old
4597,Equate Petroche...,4.5,(96 Reviews),27 years old,Ahmadi + 6 more,1k-5k Employees (Global)
4598,Bombay Stock Exc...,4.0,(96 Reviews),147 years old,Mumbai + 8 more,1k-5k Employees (India)
4599,PSA AVTEC Powert...,3.9,(96 Reviews),5 years old,Hosur + 4 more,51-200 Employees (India)
4600,Omega Healthcare...,3.5,(96 Reviews),10k-50k Employees (Global),Bengaluru/Bangalore + 4 more,
4601,VIKRAN Engineeri...,4.2,(96 Reviews),Thane + 20 more,Private,14 years old
4602,Met Technologies,2.7,(96 Reviews),"Kolkata,West Bengal + 1 more",Private,12 years old
4603,City Montessori ...,3.9,(96 Reviews),63 years old,"Lucknow,Uttar Pradesh + 9 more",1k-5k Employees (India)
4604,Shipping Corpora...,4.0,(96 Reviews),Mumbai + 5 more,Private,61 years old
4605,Saxo Bank,3.4,(96 Reviews),"Copenhagen,Capital Region",Private,30 years old
4606,AIDA Cruises,4.7,(96 Reviews),Rostock + 6 more,Private,26 years old
4607,Db Power,4.2,(96 Reviews),12 years old,"Mumbai,Maharashtra + 5 more",501-1k Employees (India)
4608,Course5,3.6,(96 Reviews),22 years old,"Bellevue,Washington + 5 more",501-1k Employees (India)
4609,SAR Group,4.0,(98 Reviews),34 years old,Gurugram + 16 more,501-1k Employees (Global)
4610,MindGate Solutio...,3.2,(95 Reviews),Mumbai + 6 more,Private,14 years old
4611,Heavy Engineerin...,4.2,(95 Reviews),"Ranchi,Jharkhand + 5 more",Private,64 years old
4612,DLF Brands,3.3,(95 Reviews),New Delhi + 13 more,Private,14 years old
4613,BPL Medical Tech...,4.1,(95 Reviews),Bangalore + 16 more,Private,55 years old
4614,Prestige Estates...,4.4,(95 Reviews),"Bangalore/Bengaluru,Karnataka + 5 more",Public,36 years old
4615,Harita Techserv,3.5,(95 Reviews),26 years old,"Chennai,Tamil Nadu + 7 more",51-200 Employees (India)
4616,Texport Industri...,4.3,(95 Reviews),"Mumbai,Maharashtra + 7 more",Private,44 years old
4617,Xeam Ventures,3.9,(95 Reviews),"Mohali,Punjab + 27 more",Private,18 years old
4618,HMSHost,3.9,(95 Reviews),"Bethesda,Maryland + 8 more",Private,125 years old
4619,MSCI,3.8,(95 Reviews),"New York City,New York + 6 more",Private,18 years old
4620,KrazyBee,4.3,(95 Reviews),6 years old,"Bangalore,Karnataka + 8 more",501-1k Employees (Global)
4621,Ajay Industrial ...,4.0,(95 Reviews),"Ghaziabad,Uttar Pradesh + 19 more",Private,61 years old
4622,Cape East,3.7,(95 Reviews),129 years old,Montpellier + 7 more,10k-50k Employees (Global)
4623,Laxmi Civil Engi...,4.2,(95 Reviews),22 years old,"Kolhapur,Maharashtra + 22 more",201-500 Employees (India)
4624,Savex Technologi...,4.6,(95 Reviews),36 years old,Mumbai + 26 more,501-1k Employees (India)
4625,Century Pulp & P...,3.8,(95 Reviews),38 years old,"Nainital,Uttarakhand + 8 more",201-500 Employees (India)
4626,Excel Crop Care,4.3,(95 Reviews),"Mumbai,Maharashtra + 14 more",Public,58 years old
4627,Serdia Pharmaceu...,4.0,(95 Reviews),"Mumbai,Maharashtra + 19 more",Private,36 years old
4628,Toyota Kirloskar...,4.3,(95 Reviews),20 years old,Bangalore + 5 more,201-500 Employees (India)
4629,Matix Fertiliser...,3.8,(95 Reviews),"Mumbai,Maharashtra + 8 more",Private,13 years old
4630,ClearTax,3.7,(95 Reviews),"New York City,New York + 5 more",Private,11 years old
4631,Mindcrest,2.7,(95 Reviews),"Chicago,Illinois + 1 more",Private,21 years old
4632,Phenix Construct...,4.3,(95 Reviews),"Ahmedabad,Gujarat + 9 more",Private,15 years old
4633,FICO,4.0,(95 Reviews),"San Jose,California + 4 more",Private,66 years old
4634,RNF Technologies,3.9,(95 Reviews),"Noida,Uttar Pradesh + 1 more",Private,13 years old
4635,DCW,4.1,(95 Reviews),"Mumbai,Maharashtra + 8 more",Public,97 years old
4636,Rajdeep Buildcon,4.2,(95 Reviews),Pune + 15 more,Private,30 years old
4637,Shriram Properti...,3.4,(95 Reviews),"Bangalore/Bengaluru,Karnataka + 6 more",Private,27 years old
4638,Butterfly Gandhi...,4.3,(95 Reviews),"Chennai,Tamil Nadu + 17 more",Public,36 years old
4639,Maharashtra Natu...,3.8,(95 Reviews),Pune + 4 more,Private,16 years old
4640,National Highway...,4.0,(95 Reviews),34 years old,"Delhi/NCR,Delhi + 48 more",
4641,Peps Industries,3.8,(95 Reviews),16 years old,Bangalore + 22 more,501-1k Employees (India)
4642,Lumino Industrie...,3.9,(95 Reviews),33 years old,"Kolkata,West Bengal + 10 more",51-200 Employees (India)
4643,Eaton Power Qual...,4.1,(95 Reviews),111 years old,"New Delhi,Delhi + 10 more",201-500 Employees (India)
4644,Reliance Naval a...,3.6,(95 Reviews),"Mumbai,Maharashtra + 10 more",Private,15 years old
4645,InfoService,3.2,(95 Reviews),"Chennai,Tamil Nadu + 17 more",Private,18 years old
4646,Emrill Services ...,4.5,(95 Reviews),20 years old,Dubai + 2 more,5k-10k Employees (Global)
4647,ACT Plast Paints,4.0,(95 Reviews),Kancheepuram + 5 more,Private,16 years old
4648,Dream India Scho...,3.7,(95 Reviews),Hyderabad + 33 more,Private,9 years old
4649,Winds E World,4.4,(95 Reviews),Kolkata + 13 more,Public,4 years old
4650,Laxmi-Agni Compo...,3.7,(95 Reviews),23 years old,Aurangabad,201-500 Employees (India)
4651,Institute of Che...,4.2,(95 Reviews),Mumbai + 20 more,Private,89 years old
4652,National Securit...,3.2,(95 Reviews),"Mumbai,Maharashtra + 3 more",Private,26 years old
4653,More Mega Store,4.0,(95 Reviews),15 years old,"Mumbai,Maharashtra + 20 more",10k-50k Employees (Global)
4654,Amanta Healthcar...,4.1,(95 Reviews),Ahmedabad + 6 more,Private,24 years old
4655,Rakon,3.6,(95 Reviews),55 years old,"Bangalore/Bengaluru,Karnataka + 1 more",201-500 Employees (India)
4656,Balrampur Chini ...,4.3,(95 Reviews),"Kolkata,West Bengal + 8 more",Public,47 years old
4657,Indigo Paints,3.8,(95 Reviews),22 years old,"Pune,Maharashtra + 29 more",51-200 Employees (India)
4658,Trident Automobi...,4.2,(95 Reviews),"Bangalore/Bengaluru,Karnataka + 4 more",Private,24 years old
4659,Logicon Facility...,3.6,(95 Reviews),16 years old,Pune + 6 more,1k-5k Employees (Global)
4660,Keller Ground En...,4.3,(95 Reviews),London + 10 more,Private,162 years old
4661,ETA ASCON Group,4.3,(95 Reviews),Dubai + 12 more,Private,49 years old
4662,Chembond Chemica...,3.6,(95 Reviews),"Mumbai,Maharashtra + 11 more",Public,49 years old
4663,Rithwik Projects,3.9,(95 Reviews),23 years old,Hyderabad + 15 more,1k-5k Employees (India)
4664,Freshworks,3.9,(95 Reviews),"San Mateo,California + 9 more",Private,12 years old
4665,Scholastic,4.1,(106 Reviews),"Gurgaon/Gurugram,Haryana + 23 more",Private,25 years old
4666,Velan Info Servi...,4.4,(94 Reviews),"Dover,Delaware + 1 more",Private,15 years old
4667,Tata Memorial Ho...,4.5,(94 Reviews),Mumbai + 6 more,Private,81 years old
4668,Celebi Ground Ha...,4.4,(94 Reviews),Istanbul + 9 more,Private,64 years old
4669,Narula Infrastru...,3.9,(94 Reviews),Kolkata + 27 more,Private,17 years old
4670,SEForge,3.8,(94 Reviews),Coimbatore + 3 more,Private,16 years old
4671,NextGen Healthca...,3.8,(94 Reviews),11 years old,"Atlanta,Georgia + 5 more",501-1k Employees (India)
4672,Sika,3.9,(94 Reviews),"Baar,Zug + 23 more",Public,112 years old
4673,AYTB,4.0,(94 Reviews),Al Jubail + 6 more,Private,43 years old
4674,Linfox Logistics,4.2,(94 Reviews),66 years old,"Mumbai,Maharashtra + 18 more",51-200 Employees (India)
4675,Saint Gobain Sek...,4.0,(94 Reviews),Pune + 10 more,Public,49 years old
4676,Leena Powertech ...,3.6,(94 Reviews),Mumbai + 7 more,Private,27 years old
4677,Digital Nirvana ...,3.9,(94 Reviews),"Fremont,California",Private,26 years old
4678,Shanthi Gears,4.2,(94 Reviews),"Coimbatore,Tamil Nadu + 6 more",Public,53 years old
4679,Armstrong Intern...,4.1,(94 Reviews),"Three Rivers,MI + 16 more",Private,122 years old
4680,SAVA Healthcare,4.2,(94 Reviews),19 years old,"Pune,Maharashtra + 6 more",501-1k Employees (India)
4681,Orient Paper Mil...,3.5,(94 Reviews),83 years old,Kolkata + 6 more,1k-5k Employees (India)
4682,Citrus Hotels,4.1,(94 Reviews),Mumbai + 21 more,Private,14 years old
4683,Safdarjung Hospi...,4.6,(94 Reviews),80 years old,"Delhi/NCR,Delhi + 6 more",501-1k Employees (India)
4684,EFKON INDIA,3.6,(94 Reviews),"Gurgaon/Gurugram,Haryana + 12 more",Private,21 years old
4685,TCS e-Serve Inte...,3.7,(94 Reviews),Mumbai + 18 more,Private,5k-10k Employees (India)
4686,Maharishi Markan...,4.0,(94 Reviews),29 years old,Ambala + 3 more,501-1k Employees (India)
4687,Radix Electrosys...,3.2,(94 Reviews),42 years old,"Navi Mumbai,Maharashtra + 9 more",201-500 Employees (India)
4688,O2 Spa,3.2,(94 Reviews),"Hyderabad,Telangana + 16 more",Private,15 years old
4689,TITAGARH WAGONS,3.2,(94 Reviews),"Kolkata,West Bengal + 5 more",Public,24 years old
4690,Global Cloud Xch...,3.4,(94 Reviews),Hamilton + 5 more,Private,34 years old
4691,UFO Moviez,4.1,(94 Reviews),"Mumbai,Maharashtra + 22 more",Public,17 years old
4692,Kopran,4.1,(94 Reviews),"Mumbai,Maharashtra + 11 more",Public,64 years old
4693,RAK BANK,4.1,(94 Reviews),46 years old,"Ras Al Khaimah,Ras Al Khaimah + 5 more",1k-5k Employees (Global)
4694,Saija Finance,3.7,(94 Reviews),15 years old,"Patna,Bihar + 19 more",501-1k Employees (India)
4695,Madras Engineeri...,4.0,(94 Reviews),56 years old,Chennai + 6 more,11-50 Employees (India)
4696,RAXA,4.1,(94 Reviews),New Delhi + 14 more,Private,17 years old
4697,Caplin Point Lab...,3.9,(94 Reviews),"Chennai,Tamil Nadu + 5 more",Public,32 years old
4698,Anand CY Myutec ...,4.3,(94 Reviews),30 years old,Gurugram + 4 more,201-500 Employees (India)
4699,Vini Cosmetics,4.2,(94 Reviews),"Ahmedabad,Gujarat + 26 more",Private,13 years old
4700,Salini Impregilo,4.6,(94 Reviews),Milan + 5 more,Private,8 years old
4701,Splash Fashions,4.1,(94 Reviews),29 years old,Dubai + 21 more,201-500 Employees (Global)
4702,Yamaha Motor Ind...,3.6,(94 Reviews),Gautam Buddh Nagar + 32 more,Private,37 years old
4703,Barco Electronic...,4.4,(94 Reviews),"Duluth,Georgia + 4 more",Private,88 years old
4704,Sophos Technolog...,4.0,(94 Reviews),"Ahmedabad,Gujarat + 5 more",Private,23 years old
4705,Rehau Polymers,4.4,(94 Reviews),Singapore + 9 more,Private,25 years old
4706,Aster Medcity,4.4,(94 Reviews),"Kochi/Cochin,Kerala + 2 more",Private,7 years old
4707,Livguard,4.4,(94 Reviews),"Gurgaon,Haryana + 12 more",Private,8 years old
4708,Bonn group,3.8,(94 Reviews),37 years old,"Ludhiana,Punjab + 10 more",1k-5k Employees (India)
4709,Sigma,3.9,(94 Reviews),"Altidona,Missouri + 25 more",Private,23 years old
4710,WaterHealth Inte...,3.6,(94 Reviews),"Hyderabad/Secunderabad,Telangana + 10 more",Private,17 years old
4711,Marathon Electri...,3.8,(94 Reviews),109 years old,"Las Vegas,Nevada + 9 more",201-500 Employees (India)
4712,Sendan Internati...,4.0,(94 Reviews),Al Jubail + 5 more,Private,28 years old
4713,Gandour India Fo...,3.8,(94 Reviews),23 years old,"Hyderabad/Secunderabad,Telangana + 26 more",51-200 Employees (India)
4714,RenewBuy,3.5,(94 Reviews),"Gurgaon,Haryana + 24 more",Private,8 years old
4715,Panda Retail Com...,4.5,(94 Reviews),Jeddah + 7 more,Private,44 years old
4716,Global Healthcar...,3.0,(94 Reviews),"Chennai,Tamil Nadu + 2 more",Private,6 years old
4717,United Telecoms,3.5,(93 Reviews),Bengaluru + 13 more,Private,39 years old
4718,ACS,3.2,(93 Reviews),"Duluth,Georgia + 23 more",Private,24 years old
4719,Arch Pharmalabs,4.0,(93 Reviews),Mumbai + 10 more,Private,23 years old
4720,Pearl Polymers,4.5,(93 Reviews),"Delhi/NCR,Delhi + 14 more",Public,38 years old
4721,Nehru Yuva Kendr...,4.4,(93 Reviews),50 years old,New Delhi + 48 more,
4722,Kanoria Chemical...,4.0,(93 Reviews),"Delhi/NCR,Delhi + 6 more",Public,62 years old
4723,Tredence,3.8,(93 Reviews),"San Jose,California + 3 more",Private,9 years old
4724,Municipal Corpor...,4.0,(93 Reviews),Mumbai + 3 more,Public,134 years old
4725,Etihad Airways,4.3,(93 Reviews),Abu Dhabi + 11 more,Private,19 years old
4726,Furlenco,3.3,(93 Reviews),"Bangalore,Karnataka + 12 more",Private,10 years old
4727,Unimark Remedies,3.3,(93 Reviews),Mumbai + 7 more,Private,40 years old
4728,MahaOnline,4.5,(93 Reviews),"Mumbai,Maharashtra + 19 more",Public,12 years old
4729,Takenaka,4.0,(93 Reviews),Osaka + 11 more,Private,85 years old
4730,Navneet Educatio...,3.9,(93 Reviews),"Mumbai,Maharashtra + 20 more",Public,63 years old
4731,Nipro India Corp...,3.7,(93 Reviews),12 years old,"Satara,Maharashtra + 10 more",201-500 Employees (India)
4732,Biesse Manufactu...,4.0,(93 Reviews),"Pesaro,Pesaro + 6 more",Private,53 years old
4733,L&T IDPL,4.3,(93 Reviews),Chennai + 18 more,Private,27 years old
4734,Indian Political...,3.3,(93 Reviews),7 years old,"Hyderabad/Secunderabad,Telangana + 10 more",201-500 Employees (Global)
4735,Him Teknoforge,3.9,(93 Reviews),"Chandigarh,Chandigarh + 6 more",Public,41 years old
4736,Intense Technolo...,4.1,(93 Reviews),"Hyderabad/Secunderabad,Telangana + 11 more",Public,32 years old
4737,Costa Coffee,4.2,(93 Reviews),Dunstable + 15 more,Private,51 years old
4738,ANR Software,3.3,(93 Reviews),"Noida,Uttar Pradesh + 3 more",Private,18 years old
4739,Arch Pharmalabs,4.0,(93 Reviews),Mumbai + 10 more,Private,23 years old
4740,Unimark Remedies,3.3,(93 Reviews),Mumbai + 7 more,Private,40 years old
4741,Him Teknoforge,3.9,(93 Reviews),"Chandigarh,Chandigarh + 6 more",Public,41 years old
4742,Intense Technolo...,4.1,(93 Reviews),"Hyderabad/Secunderabad,Telangana + 11 more",Public,32 years old
4743,Bharat Wire Rope...,3.4,(93 Reviews),"Mumbai,Maharashtra + 3 more",Public,36 years old
4744,Welspun Global B...,3.7,(93 Reviews),Mumbai + 15 more,Public,22 years old
4745,Meneta Automotiv...,3.6,(93 Reviews),Sonipat + 4 more,Private,15 years old
4746,Smc Pneumatics I...,4.0,(93 Reviews),"Noida,Uttar Pradesh + 16 more",Private,27 years old
4747,Smart Drive Syst...,3.6,(93 Reviews),"San Diego,California",Private,18 years old
4748,Anlage Infotech,4.4,(93 Reviews),"Mumbai,Maharashtra + 11 more",Private,26 years old
4749,Linc Pen & Plast...,3.9,(93 Reviews),"Kolkata,West Bengal + 16 more",Public,46 years old
