,Company,rating,reviews,place,company type,old
460,Microland,3.8,(843 Reviews),Bangalore + 31 more,Public,33 years old
461,Verizon,4.2,(868 Reviews),"New York City,New York + 8 more",Private,22 years old
462,SRL Diagnostics,4.1,(842 Reviews),Mumbai + 103 more,Private,27 years old
463,Kotak Securities,3.9,(842 Reviews),"Mumbai,Maharashtra + 89 more",Private,28 years old
464,KFC,4.1,(842 Reviews),"Louisville,Kentucky + 110 more",Private,70 years old
465,Reliance General...,3.9,(840 Reviews),"Mumbai,Maharashtra + 130 more",Private,22 years old
466,Square Yards,3.1,(837 Reviews),"Gurgaon,Haryana + 34 more",Private,9 years old
467,Cavinkare,4.2,(837 Reviews),"Chennai,Tamil Nadu + 107 more",Private,39 years old
468,Toyota Kirloskar...,4.2,(836 Reviews),"Bangalore/Bengaluru,Karnataka + 53 more",Private,25 years old
469,Badve Engineerin...,3.9,(836 Reviews),"Aurangabad,Maharashtra + 29 more",Private,26 years old
470,SGS,4.0,(836 Reviews),"Geneva,Geneva + 71 more",Private,144 years old
471,USHA Internation...,4.2,(859 Reviews),"Gurgaon/Gurugram,Haryana + 87 more",Public,88 years old
472,XpressBees,4.0,(829 Reviews),"Pune,Maharashtra + 143 more",Private,7 years old
473,First American C...,4.0,(1.2k Reviews),"Santa Ana,California + 10 more",Private,133 years old
474,Jindal Stainless,4.1,(879 Reviews),"Delhi/NCR,New Delhi + 41 more",Public,52 years old
475,Aavas Financiers...,4.1,(822 Reviews),"Jaipur,Rajasthan + 172 more",Public,11 years old
476,Zomato,3.9,(820 Reviews),"Gurgaon,Haryana + 123 more",Private,14 years old
477,Serco,4.2,(820 Reviews),Hook + 37 more,Private,34 years old
478,Exl India,3.8,(820 Reviews),65 years old,New Delhi + 19 more,11-50 Employees (India)
479,Consolidated Con...,4.6,(820 Reviews),"Marousi,Alger + 37 more",Public,70 years old
480,Safexpress,4.2,(936 Reviews),"Delhi/NCR,Delhi + 108 more",Private,25 years old
481,Ocwen Financial ...,4.1,(816 Reviews),"West Palm Beach,Florida + 6 more",Private,34 years old
482,Northern Trust O...,4.1,(816 Reviews),"Bangalore/Bengaluru,Karnataka + 11 more",Private,17 years old
483,Canara HSBC OBC ...,3.7,(815 Reviews),"Gurgaon/Gurugram,Haryana + 150 more",Public,14 years old
484,Nagarro,4.2,(815 Reviews),"Munich,Bavaria + 14 more",Private,26 years old
485,DIVI'S Laborator...,3.7,(814 Reviews),"Hyderabad/Secunderabad,Telangana + 12 more",Public,32 years old
486,Xoriant,4.5,(814 Reviews),"Sunnyvale,California + 14 more",Private,32 years old
487,Vertex Customer ...,3.6,(808 Reviews),Panchkula + 30 more,Private,12 years old
488,Harman Connected...,3.8,(805 Reviews),"Mountain View,California + 8 more",Private,21 years old
489,HERE Technologie...,4.0,(801 Reviews),"Eindhoven,North Brabant + 8 more",Private,37 years old
490,Motherson Automo...,3.9,(3.2k Reviews),Noida + 40 more,Private,25 years old
491,Laurus Labs,4.3,(800 Reviews),"Hyderabad/Secunderabad,Telangana + 5 more",Public,17 years old
492,Bank of Baroda,3.8,(1.1k Reviews),"Vadodara/Baroda,Gujrat + 161 more",Private,114 years old
493,SLK Global Servi...,3.9,(798 Reviews),"Dallas,Texas + 5 more",Private,22 years old
494,KONE,4.1,(798 Reviews),"Chennai,Tamil Nadu + 52 more",Private,38 years old
495,Motilal Oswal Fi...,3.7,(797 Reviews),"Mumbai,Maharashtra + 83 more",Public,35 years old
496,Innovsource Serv...,4.1,(795 Reviews),18 years old,"Mumbai,Maharashtra + 115 more",1k-5k Employees (India)
497,Satin Creditcare...,4.2,(794 Reviews),"Gurgaon/Gurugram,Haryana + 169 more",Public,32 years old
498,Medanta the Medi...,4.2,(793 Reviews),Gurgaon + 27 more,Private,13 years old
499,Medi Assist Indi...,3.9,(793 Reviews),"Bangalore,Karnataka + 42 more",Private,22 years old
500,Nayara Energy,4.1,(793 Reviews),33 years old,"Mumbai,Maharashtra + 62 more",1k-5k Employees (India)
501,Sitel,3.9,(922 Reviews),"Miami,Florida + 10 more",Private,37 years old
502,Essar Steel,3.9,(791 Reviews),"Mumbai,Maharashtra + 29 more",Private,46 years old
503,Philips,4.0,(1.3k Reviews),Amsterdam + 68 more,Private,92 years old
